EVTDESC55009;While searching the open seas for the perfect wave, our explorers have accidentially stumbled across an island chain. Although we assume the island is not valuable to us, we have planted our flag in the name of the Net Surfers.;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME55010;Hawaii Discovered!;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC55010;While searching the open seas for the perfect wave, our explorers have accidentially stumbled across an island chain. Although we assume the island is not valuable to us, we have planted our flag in the name of the Net Surfers.;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME55011;Ride the Big One;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC55011;Today we feast on the fruits of our labor. The men lost, boards broken, and years of youth stolen from us have not been in vain. The wave is approaching us now, curl stretching up towards the heavens, inviting us to carve the glassy wave up to the heavens. Today, men will become gods on Earth as we at last will ride the Big One.;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA55001;Cowabunga dude!;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME55012;Surfers have claimed the Galapagos Islands!;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC55012;Voyagers have stumbled upon one of our colonies and proclaimed it to be their new lands. When asked to leave they just said "cowabunga dude" and cracked a beer.;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA55012;We must retake our lands from these beatniks.;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME55013;Surfers have claimed the Marquesas Islands!;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC55013;Voyagers have stumbled upon one of our colonies and proclaimed it to be their new lands. When asked to leave they just said "cowabunga dude" and cracked a beer.;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA55013;We must retake our lands from these beatniks.;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME55014;Surfers have claimed Hawaii!;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC55014;Voyagers have stumbled upon one of our colonies and proclaimed it to be their new lands. When asked to leave they just said "cowabunga dude" and cracked a beer.;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA55014;We must retake our lands from these beatniks.;;;;;;;;;;;;;;;;;;;x;;;;
